,nertag,s_id,w_id,word
0,O,1.0,0.0,By
1,O,1.0,1.0,looking
2,O,1.0,2.0,at
3,O,1.0,3.0,your
4,O,1.0,4.0,list
5,O,1.0,5.0,I
6,O,1.0,6.0,really
7,O,1.0,7.0,think
8,PERSON,1.0,8.0,Michelle
9,PERSON,1.0,9.0,Pfeiffer
10,O,1.0,10.0,is
11,O,1.0,11.0,amazingly
12,O,1.0,12.0,sexy
0,PERSON,2.0,0.0,Kate
1,PERSON,2.0,1.0,Hudson
2,O,2.0,2.0,is
3,O,2.0,3.0,nice
0,O,3.0,0.0,Ca
1,O,3.0,1.0,n't
2,O,3.0,2.0,think
3,O,3.0,3.0,of
4,O,3.0,4.0,anyone
5,O,3.0,5.0,else
6,O,3.0,6.0,right
7,O,3.0,7.0,now
0,O,4.0,0.0,I
1,O,4.0,1.0,'d
2,O,4.0,2.0,have
3,O,4.0,3.0,to
4,O,4.0,4.0,say
5,O,4.0,5.0,my
6,O,4.0,6.0,celebrity
7,O,4.0,7.0,hottie
8,O,4.0,8.0,is
9,PERSON,4.0,9.0,Dennis
10,PERSON,4.0,10.0,Miller
0,O,5.0,0.0,And
1,O,5.0,1.0,were
2,O,5.0,2.0,I
3,O,5.0,3.0,to
4,O,5.0,4.0,swing
5,O,5.0,5.0,for
6,O,5.0,6.0,the
7,O,5.0,7.0,other
8,O,5.0,8.0,team
9,O,5.0,9.0,I
10,O,5.0,10.0,think
11,PERSON,5.0,11.0,Ben
12,PERSON,5.0,12.0,Affleck
13,O,5.0,13.0,'s
14,O,5.0,14.0,a
15,O,5.0,15.0,damn
16,O,5.0,16.0,fine
17,O,5.0,17.0,looking
18,O,5.0,18.0,man
0,O,6.0,0.0,I
1,O,6.0,1.0,like
2,PERSON,6.0,2.0,Kirstin
3,PERSON,6.0,3.0,Dunst
4,O,6.0,4.0,but
5,O,6.0,5.0,I
6,O,6.0,6.0,would
7,O,6.0,7.0,n't
8,O,6.0,8.0,label
9,O,6.0,9.0,her
10,O,6.0,10.0,as
11,O,6.0,11.0,sexy
0,PERSON,7.0,0.0,Sophia
1,PERSON,7.0,1.0,Loren
2,O,7.0,2.0,is
3,O,7.0,3.0,The
4,O,7.0,4.0,sexiest
5,O,7.0,5.0,woman
6,O,7.0,6.0,of
7,O,7.0,7.0,all
8,O,7.0,8.0,time
9,O,7.0,9.0,in
10,O,7.0,10.0,my
11,O,7.0,11.0,opinion
0,PERSON,8.0,0.0,Monica
1,PERSON,8.0,1.0,Bellucci
2,O,8.0,2.0,is
3,O,8.0,3.0,the
4,O,8.0,4.0,hottest
5,O,8.0,5.0,hooker
6,O,8.0,6.0,in
7,O,8.0,7.0,Brotherhood
8,O,8.0,8.0,of
9,O,8.0,9.0,the
10,PERSON,8.0,10.0,Wolf
0,O,9.0,0.0,I
1,O,9.0,1.0,really
2,O,9.0,2.0,do
3,O,9.0,3.0,n't
4,O,9.0,4.0,like
5,PERSON,9.0,5.0,Catherine
6,PERSON,9.0,6.0,Zeta
7,PERSON,9.0,7.0,Jones
8,O,9.0,8.0,anymore
0,PERSON,10.0,0.0,Sarah
1,PERSON,10.0,1.0,Michelle
2,PERSON,10.0,2.0,Gellar
3,O,10.0,3.0,really
4,O,10.0,4.0,gets
